emp_no,first_name,last_name,title,from_date,to_date
11945,Limsoon,Marakhovsky,Staff,1994-01-21,9999-01-01
11948,Yahiko,Nergos,Engineer,1995-05-10,2002-05-10
12007,Marko,Dehkordi,Engineer,1989-05-17,1996-05-17
12024,Mayumi,Lanzelotte,Staff,1997-11-03,9999-01-01
12028,Ingemar,Walstra,Engineer,1992-09-02,1997-09-02
12043,Masaki,Lubachevsky,Staff,2000-01-05,9999-01-01
12055,Rutger,Kilgore,Staff,1990-06-22,1995-06-16
12093,Evgueni,Oxenboll,Engineer,1994-01-19,1999-01-19
12102,Aron,Erde,Staff,1994-02-17,9999-01-01
12140,Xudong,Paciorek,Senior Staff,1996-11-15,9999-01-01
12148,Hidde,Garigliano,Assistant Engineer,1997-06-24,1997-11-21
12165,Xiaobin,Maquelin,Senior Engineer,1994-08-29,9999-01-01
12186,Guther,Nooteboom,Senior Staff,1998-01-24,9999-01-01
12190,Abdulah,Engberts,Senior Engineer,1997-12-13,9999-01-01
12213,Kwangho,Brizzi,Senior Staff,2000-10-31,9999-01-01
12219,Junsik,Gadepally,Senior Staff,1995-06-13,9999-01-01
12230,Yuriy,Bellone,Engineer,1997-04-13,9999-01-01
12247,Subbu,Penttonen,Technique Leader,1985-04-09,9999-01-01
12249,Eldridge,Sadowski,Engineer,1987-06-21,1996-06-20
12269,Mohammed,Whitcomb,Engineer,1994-07-06,2000-07-05
12282,Tadahiro,Delgrange,Engineer,1999-10-06,9999-01-01
12303,Godehard,Braccini,Senior Staff,1988-06-13,1988-07-19
12308,Mototsugu,Cronau,Senior Staff,1991-08-11,9999-01-01
12317,Weiyi,Crabtree,Staff,1996-08-11,9999-01-01
12327,DAIDA,Bruckman,Engineer,1986-10-16,1992-10-15
12328,Atilio,Prampolini,Staff,1997-05-03,9999-01-01
12335,Arnould,Genin,Senior Staff,1995-12-01,2000-06-19
12338,Kagan,Besselaar,Staff,1997-01-10,9999-01-01
12343,Sorina,Slaats,Senior Staff,1997-08-25,9999-01-01
12351,Gennady,Zizka,Engineer,1997-08-26,1999-02-16
12366,Patricio,Setlzner,Staff,1994-07-16,2000-01-20
12394,Stevo,Reeken,Engineer,1998-09-26,9999-01-01
12407,Jianwen,Brodie,Engineer,1993-12-03,1999-09-13
12411,Shao,Ibel,Senior Staff,1991-08-17,9999-01-01
12415,Uri,Sluis,Staff,1994-10-17,1998-10-10
12426,Shahaf,Valtorta,Technique Leader,1999-05-17,9999-01-01
12450,Sanjeeva,Perng,Engineer,1992-02-02,1999-02-02
12468,Ioana,Baezner,Staff,1993-12-08,9999-01-01
12502,Danil,VanScheik,Senior Engineer,1989-06-06,9999-01-01
12505,Barton,Goldhammer,Senior Staff,1999-08-24,2002-02-18
12514,Tomofumi,Melter,Engineer,1999-11-13,9999-01-01
12515,Pranav,Wilharm,Engineer,1994-01-27,2000-01-27
12528,Conor,Cincotta,Senior Staff,1997-09-24,9999-01-01
12541,Shih,Nanard,Senior Staff,1996-08-31,9999-01-01
12571,Abdelaziz,Candan,Assistant Engineer,1997-04-23,2002-04-23
12586,Oguz,Tasistro,Engineer,1994-04-30,2001-04-30
12589,Anoosh,Chleq,Engineer,1988-09-08,1997-09-08
12597,Kazuhito,Petereit,Senior Staff,1999-12-13,9999-01-01
12635,Xinyu,Restivo,Engineer,1995-02-03,2000-02-03
12639,Zeljko,Schapire,Engineer,1994-05-21,2002-05-21
12644,Bernt,Jayawardene,Engineer,1989-10-29,1994-10-29
12651,Pragnesh,Bael,Senior Staff,1988-01-27,9999-01-01
12662,Leucio,Alvarado,Assistant Engineer,1985-08-27,1994-08-27
12664,Zhonghua,Parveen,Staff,1999-08-04,9999-01-01
12670,Seongbae,Alameldin,Engineer,1999-09-10,9999-01-01
12678,Carrsten,Borovoy,Engineer,1999-06-26,2000-04-22
12691,Oddvar,Gils,Engineer,1992-08-25,1998-08-25
12732,Mara,Takanami,Senior Staff,1988-04-06,9999-01-01
12734,Gil,Frijda,Senior Engineer,1986-03-03,9999-01-01
12753,Kazuhito,Syrotiuk,Engineer,1991-08-26,1999-08-26
12773,Jenwei,Lovengreen,Engineer,1985-03-05,1994-03-05
12774,Moon,Asrin,Engineer,1997-08-02,9999-01-01
12775,Mariangiola,Berendt,Assistant Engineer,1991-02-24,1999-02-24
12795,Masoud,Fordan,Senior Staff,1997-06-23,9999-01-01
12798,Lillian,Beeson,Senior Staff,1996-12-26,9999-01-01
12803,Gad,Boissier,Senior Staff,1990-03-16,9999-01-01
12814,Jaques,Kohling,Technique Leader,1998-06-07,1998-11-24
12816,Freyja,Ramras,Engineer,1985-04-18,1992-04-18
12821,Arco,Gihr,Engineer,1997-05-04,9999-01-01
12840,Zhensheng,Ferretti,Engineer,1994-09-10,9999-01-01
12857,Alagu,Gils,Senior Engineer,1995-07-05,9999-01-01
12865,Katsuyuki,Rothe,Senior Staff,1994-02-14,9999-01-01
12868,Berthier,Nanard,Senior Engineer,1990-01-07,9999-01-01
12869,Jacopo,Swiler,Staff,1999-01-02,9999-01-01
12885,Anwar,Collavizza,Senior Engineer,1990-09-11,9999-01-01
12889,Mayumi,Mukaidono,Engineer,1999-04-28,9999-01-01
12895,Roddy,Serot,Senior Engineer,1993-08-15,9999-01-01
12926,Heekeun,Luby,Senior Staff,1992-12-24,9999-01-01
12962,Paraskevi,Beerel,Senior Staff,2001-10-21,9999-01-01
12972,Juyoung,Azevdeo,Staff,1988-04-03,1990-08-07
12982,Sachem,Aamodt,Engineer,1992-01-11,2000-01-11
12986,Khun,Hennebert,Senior Engineer,1990-09-20,9999-01-01
13004,Fan,Beznosov,Engineer,1990-05-18,1996-05-17
13012,Florina,Harbusch,Senior Engineer,1987-12-24,2002-05-24
13013,Heekeun,Baak,Engineer,2000-01-22,9999-01-01
13048,Kerhong,Massonet,Senior Engineer,1996-11-14,9999-01-01
13052,Aleksandar,Schlenzig,Engineer,1991-07-27,1996-07-26
13054,Samphel,Masamoto,Engineer,1994-12-21,2001-12-21
13095,Khedija,Cochrane,Staff,1999-05-03,2000-01-06
13103,Srinidhi,Ellozy,Senior Engineer,1988-06-19,9999-01-01
13144,Persi,Nollmann,Senior Staff,1997-06-19,9999-01-01
13156,Akeel,Millington,Engineer,1992-08-18,2000-08-18
13200,Weidon,Pauthner,Engineer,1991-08-07,1998-08-07
13216,Stabislas,Weedman,Staff,1999-05-23,9999-01-01
13227,Goncalo,Pell,Staff,1997-02-03,9999-01-01
13246,Adil,Siepmann,Staff,1999-12-31,9999-01-01
13249,Oldrich,Rissland,Staff,1992-06-04,1997-09-24
13261,Martial,Peternell,Staff,1994-07-28,2000-10-12
13288,Muneo,Broomell,Senior Staff,1995-04-14,9999-01-01
13291,Georg,Stamatiou,Engineer,1986-10-30,1993-10-30
13303,Koldo,Rissanen,Staff,1997-03-01,9999-01-01
13305,Bikash,Herath,Senior Staff,1994-07-17,1995-01-19
13343,Heon,Usery,Senior Staff,1995-07-30,9999-01-01
13378,Rafols,Zhiwei,Technique Leader,1998-07-17,9999-01-01
13386,Khosrow,Sgarro,Technique Leader,1986-02-23,9999-01-01
13396,Chuanyi,Aumann,Senior Staff,1994-03-29,9999-01-01
13412,Ranga,Erdmenger,Staff,1996-03-21,9999-01-01
13422,Vishwani,Gerlach,Engineer,1988-01-17,1995-01-17
13436,Mana,Picaronny,Senior Staff,1994-09-20,1995-12-08
13451,Gretta,Weiland,Senior Staff,1995-08-23,9999-01-01
13475,Kamakshi,Piancastelli,Senior Staff,2000-05-27,9999-01-01
13520,Takahiro,Mahnke,Engineer,1995-11-03,2001-11-02
13522,Jaewon,Vingron,Senior Staff,2002-06-01,9999-01-01
13523,Dines,Karunanithi,Staff,1997-10-24,9999-01-01
13549,Matk,Koprowski,Technique Leader,1997-06-18,9999-01-01
13560,Sibyl,Jeong,Assistant Engineer,1986-07-28,1994-07-28
13596,Georg,Marletta,Engineer,1993-07-24,2002-07-24
13624,Zhigen,Yurek,Senior Staff,1996-05-11,9999-01-01
13630,Uzi,Kilgour,Engineer,1990-05-06,1996-04-03
13662,Tianruo,Zucker,Senior Staff,1995-02-06,9999-01-01
13713,Nitsan,Porenta,Senior Staff,2001-06-04,9999-01-01
13721,Sugwoo,Delgrossi,Senior Staff,2001-09-20,9999-01-01
13727,Vitali,Merey,Staff,1999-10-07,9999-01-01
13766,Tremaine,Heemskerk,Senior Staff,1986-08-18,9999-01-01
13786,Takushi,Berendt,Senior Staff,1995-05-19,9999-01-01
13787,Xiaobin,Sinicrope,Engineer,1990-10-30,1996-10-29
13799,Chriss,Backhouse,Technique Leader,1993-07-08,9999-01-01
13800,Nikolaus,Gammage,Technique Leader,1998-03-25,9999-01-01
13801,Shih,Mayerwieser,Staff,1999-05-26,1999-06-25
13841,Christophe,Spinelli,Technique Leader,1992-02-01,9999-01-01
13846,Guiseppe,Welham,Senior Staff,1985-03-20,9999-01-01
13853,Mingsen,Roohalamini,Senior Staff,1991-03-25,9999-01-01
13856,Xiping,Conta,Senior Staff,1995-04-26,9999-01-01
13859,Anoosh,Fujisawa,Engineer,1987-08-23,1992-08-22
13870,Theirry,Kirkerud,Engineer,1997-02-17,9999-01-01
13888,Xuedong,Reghbati,Assistant Engineer,1995-03-09,2000-03-08
13894,Ult,Schonegge,Assistant Engineer,1987-11-28,1995-11-28
13913,Xinan,Yoshizawa,Technique Leader,1997-12-18,9999-01-01
13916,Vidya,Wynblatt,Senior Staff,1995-06-06,2002-01-12
13919,Brewster,Sinicrope,Engineer,1999-12-04,9999-01-01
13930,Sukumar,Chartres,Senior Staff,1992-11-26,2000-04-20
13944,Takahito,Maierhofer,Senior Engineer,1996-09-15,9999-01-01
13972,Seongbin,Walston,Technique Leader,1990-06-28,9999-01-01
13986,Geraldo,Ramsey,Staff,1985-12-03,1989-01-19
13990,Deborah,Schapiro,Assistant Engineer,1988-06-10,1996-06-10
13996,Adib,Pews,Staff,1999-12-23,2000-04-01
13999,Florian,Crouzet,Senior Staff,2000-02-25,9999-01-01
14011,Katsuo,Peris,Engineer,1999-12-10,9999-01-01
14012,Yishai,Hanratty,Senior Engineer,1993-04-16,9999-01-01
14015,Manibrata,Picaronny,Senior Engineer,1997-08-15,9999-01-01
14034,Aloys,Seghrouchni,Senior Staff,1991-08-26,9999-01-01
14051,Constantijn,Sullins,Senior Engineer,1995-10-19,9999-01-01
14058,Huai,Kobara,Engineer,1995-10-20,2000-10-19
14066,Gennadi,Marrakchi,Staff,1996-10-29,9999-01-01
14093,Atreye,Ritzmann,Technique Leader,1995-11-21,9999-01-01
14130,Yuuichi,Stroustrup,Staff,1997-02-17,9999-01-01
14172,Vasilis,Nitsch,Senior Staff,2000-06-05,9999-01-01
14191,Jiann,Luby,Engineer,1987-01-16,1993-01-15
14200,Masali,Sankaranarayanan,Senior Staff,1997-11-10,9999-01-01
14220,Tomofumi,Pargas,Senior Engineer,1987-12-02,9999-01-01
14224,Guther,Conta,Staff,1986-01-30,1986-10-23
14236,Xuedong,Angiulli,Senior Staff,1988-11-07,9999-01-01
14252,Weiyi,Fargier,Staff,1997-07-29,9999-01-01
14256,Gino,Ferriere,Assistant Engineer,1994-05-31,1995-05-31
14257,Kwok,Massonet,Staff,1998-02-04,9999-01-01
14281,Hidekazu,Stavenow,Engineer,1993-03-18,1998-03-18
14322,Shem,Kakkad,Engineer,1999-11-19,9999-01-01
14323,Golgen,Leslie,Staff,1997-08-05,9999-01-01
14331,Susumu,Plessier,Engineer,1995-10-04,2000-10-03
14342,Hairong,Iacovou,Engineer,1990-07-19,1995-07-19
14364,Remzi,Lund,Senior Staff,1993-06-01,9999-01-01
14370,Heon,Perl,Senior Staff,2002-03-01,9999-01-01
14372,Saniya,Srimani,Engineer,1999-12-26,9999-01-01
14380,Shigeu,Heemskerk,Senior Staff,1994-01-29,1997-01-20
14388,Arch,Remmers,Senior Staff,1996-01-08,9999-01-01
14395,Berni,Brizzi,Engineer,1995-12-01,2000-12-09
14411,Hiroyasu,Validov,Technique Leader,1997-09-05,9999-01-01
14478,Munehiro,Boissier,Senior Staff,1992-06-28,9999-01-01
14481,Moti,Lammel,Engineer,1987-08-25,1993-08-24
14486,Indrajit,Birdsall,Engineer,1994-08-12,1999-08-12
14501,Taizo,Kroft,Technique Leader,1991-11-20,9999-01-01
14515,Kazuhisa,Versino,Engineer,1991-02-19,1996-02-19
14524,Nobuyoshi,Trogemann,Staff,1996-01-06,9999-01-01
14560,Elrique,Driscoll,Engineer,1985-05-21,1993-05-21
14600,Jayson,Cairo,Senior Staff,1988-10-24,9999-01-01
14611,Marsja,Coors,Staff,1997-05-10,9999-01-01
14640,Toshimori,Kornatzky,Engineer,1992-05-20,1998-05-20
14659,Sashi,Adachi,Engineer,1985-03-16,1990-03-16
14668,Weicheng,Covnot,Engineer,1992-08-10,1997-08-10
14676,Bikash,Zedlitz,Senior Staff,1996-06-11,9999-01-01
14692,Annemarie,Lamba,Engineer,1990-08-01,1996-07-31
14693,Brewster,Stranks,Senior Staff,1992-05-04,9999-01-01
14732,Heejo,Ohori,Engineer,1992-03-25,1998-03-25
14746,Uri,Baalen,Engineer,1995-07-28,2002-07-28
14752,Mariusz,Azuma,Senior Engineer,1997-05-15,9999-01-01
14759,Akeno,Valette,Senior Staff,1999-01-06,2001-11-11
14761,Yunming,Rettelbach,Senior Staff,1999-05-21,9999-01-01
14763,Ayakannu,Hedayat,Senior Engineer,1994-06-09,9999-01-01
14780,Marlo,Bruckman,Senior Engineer,1986-09-19,9999-01-01
14791,Magy,Garrabrants,Assistant Engineer,1997-11-16,9999-01-01
14818,Wayne,Falco,Engineer,1990-11-26,1997-11-26
14837,Perry,Cappello,Senior Staff,2000-06-12,9999-01-01
14839,Changho,Cronin,Engineer,1990-04-24,1998-04-24
14853,Taiji,Nergos,Engineer,1988-03-07,1993-03-07
14885,Mansur,Thisen,Technique Leader,1994-03-18,9999-01-01
14888,Temple,Barriga,Senior Staff,1986-12-09,9999-01-01
14908,Kerhong,Flanders,Engineer,1992-09-17,1997-09-17
14911,Xiaobin,Chelton,Engineer,1987-04-06,1994-04-06
14915,Huican,Picco,Engineer,1994-07-03,9999-01-01
14925,Stabislas,Peternell,Engineer,1996-06-15,9999-01-01
14936,Yuqun,Demian,Engineer,1997-08-05,2001-03-04
14941,Nathan,Lichtner,Engineer,1988-12-22,1994-12-22
14949,Insup,Reinhart,Engineer,1987-10-08,1995-10-08
14957,Turgut,Munke,Staff,2000-01-18,2001-12-18
14959,Kerryn,Hiyoshi,Technique Leader,1995-10-23,2001-07-14
14973,Fumitaka,Schaad,Staff,1995-12-01,9999-01-01
14982,Kaijung,Angelov,Engineer,1995-10-23,1997-05-28
14987,Tiina,Demeyer,Engineer,1998-07-30,2001-12-20
15004,Muneo,Esteva,Engineer,1997-07-24,9999-01-01
15025,Vincent,Lagarias,Senior Staff,1995-08-02,9999-01-01
15043,Christoph,Ventosa,Senior Staff,1994-03-17,9999-01-01
15069,Manton,Siksek,Technique Leader,1987-08-05,9999-01-01
15075,Radoslaw,Rijsenbrij,Engineer,1986-04-24,1992-04-23
15089,Giri,Coney,Engineer,1987-05-14,1995-05-14
15094,Seongbae,Bottner,Staff,1998-05-28,9999-01-01
15102,Luigi,Axelband,Engineer,1992-11-04,2000-11-04
15134,Arun,Luiz,Senior Staff,1998-07-23,9999-01-01
15136,Eckart,Waeselynck,Staff,1996-11-16,9999-01-01
15216,Zhenhua,Wiegley,Senior Staff,1997-06-24,9999-01-01
15248,Edwin,Baar,Senior Staff,1997-03-22,9999-01-01
15252,Koichi,Skrikant,Technique Leader,1993-01-12,1996-10-14
15263,Sanjeeva,Loncour,Senior Staff,1999-01-09,9999-01-01
15274,Sadun,Alblas,Engineer,1993-01-30,1996-05-05
15365,Mikhail,Schiettecatte,Engineer,1986-08-11,1995-08-11
15367,Mitsuyuki,Schoegge,Staff,1991-07-09,1992-10-21
15369,Premal,Penttonen,Staff,1999-08-20,9999-01-01
15374,Jiang,Hiroyama,Senior Staff,1996-01-06,9999-01-01
15382,Alassane,Siegrist,Senior Staff,1992-12-26,9999-01-01
15395,Monique,Jakobus,Senior Staff,1995-05-22,9999-01-01
15406,Sariel,Sooriamurthi,Senior Engineer,1996-08-04,9999-01-01
15422,Vesna,Wolniewicz,Senior Engineer,1994-01-08,9999-01-01
15439,Shuzo,Gide,Engineer,1999-10-31,2000-11-11
15470,Weiwu,Huhdanpaa,Engineer,1996-08-08,9999-01-01
15489,Ayonca,Maksimenko,Staff,1997-07-06,9999-01-01
15525,Masadi,Cherinka,Engineer,1993-04-27,2001-04-27
15560,Xiaoshan,Lakshmanan,Engineer,1991-01-30,1996-01-30
15563,Constantino,Zykh,Senior Staff,1994-04-08,9999-01-01
15582,Tuval,Alpay,Engineer,1998-11-24,9999-01-01
15603,Woody,Hooghiemstra,Engineer,1995-06-04,2000-06-03
15633,Mikhail,Matteis,Senior Staff,1997-06-06,1997-12-13
15637,Vincent,Barinka,Senior Staff,1998-07-09,9999-01-01
15638,Basil,Perez,Senior Staff,2001-09-04,9999-01-01
15650,Pascal,Bail,Senior Engineer,1997-11-16,9999-01-01
15656,Mohammad,Schaaf,Senior Staff,1996-05-25,9999-01-01
15662,Shooichi,Danner,Staff,1999-09-04,9999-01-01
15664,Bangqing,Ertl,Assistant Engineer,1997-10-11,9999-01-01
15668,Zito,Juneja,Senior Engineer,1998-02-18,9999-01-01
15683,Shaunak,Hanratty,Engineer,1995-05-09,1996-04-21
15714,Troy,Bala,Assistant Engineer,1995-03-09,2001-03-08
15717,Yuchang,Rabehasaina,Senior Staff,2000-12-10,9999-01-01
15723,Gill,Basagni,Staff,1990-10-21,1994-01-05
15733,Amalendu,Lipner,Senior Staff,1998-03-03,9999-01-01
15744,Udaiprakash,Solovay,Engineer,1991-01-19,1998-01-19
15750,Arumugam,Bresenham,Engineer,1993-11-13,2000-11-13
15763,Barun,Narahari,Senior Staff,1998-08-03,9999-01-01
15770,Doowon,Ramsey,Engineer,1995-02-25,1998-05-23
15778,Arra,Haumacher,Senior Staff,1998-09-27,9999-01-01
15788,Taegyun,Deyuan,Engineer,1990-03-13,1998-03-13
15799,Manton,Gelosh,Senior Staff,1995-05-08,9999-01-01
15812,Luise,Braunmuhl,Senior Staff,2000-05-11,9999-01-01
15842,Miyeon,Weedon,Engineer,1991-03-16,1996-03-15
15847,Shawna,Gniady,Staff,1995-09-10,9999-01-01
15855,Xiaoqiu,Brookman,Senior Staff,1998-07-28,9999-01-01
15861,Gio,Anido,Senior Staff,1995-12-20,9999-01-01
